VCS,VCS_PERCENT_ASIAN,VCS_PERCENT_BLACK,VCS_PERCENT_HISPANIC,VCS_PERCENT_WHITE
R707A,14.214150031859154,7.453184900024647,1.02478745225,74.69755509746479
R797A,16.01343785,4.479283315,1.511758119,74.41209406
R708A,11.040287191951219,2.978065725138211,0.2458143282926829,85.15316175699188
D798H,16.01343785,4.479283315,1.511758119,74.41209406
R798B,15.07065358265306,4.344273570510204,1.4192014994693876,75.24114676612245
C798A,10.880501283333333,3.7442302616666665,1.007838746,78.92582546
A798A,0.61462815,2.274124155,0.0,87.95328825999998
D798F,0.61462815,2.274124155,0.0,87.95328826
D798D,0.61462815,2.274124155,0.0,87.95328826
R798C,0.61462815,2.274124155,0.0,87.95328826
C799A,5.542688666666667,10.906106583333333,9.470780973,68.81964985666666
T798A,16.01343785,4.479283315,1.511758119,74.41209405999999
A798B,16.01343785,4.479283315,1.511758119,74.41209406
D798A,0.61462815,2.274124155,0.0,87.95328826000001
D798E,0.61462815,2.274124155,0.0,87.95328825999998
D798C,0.61462815,2.274124155,0.0,87.95328826
D798B,0.61462815,2.274124155,0.0,87.95328826
R708D,7.248318017695651,11.220592381869563,6.1246055862434785,74.45034476165218
R798E,0.61462815,2.274124155,0.0,87.95328826
D798G,16.01343785,4.479283315,1.511758119,74.41209406
R799A,0.0,20.25316456,4.068716094,70.70524412
R709B,0.61462815,2.274124155,0.0,87.95328826
C800C,12.6525480668,33.7242220496,19.42800768328,32.680287398800004
R799B,0.0,20.25316456,4.068716094,70.70524412
R708B,0.0,20.25316456,4.068716094,70.70524412
A800B,10.558080875294118,34.477379238,16.845374866941174,31.687459184705887
R708G,0.0,20.25316456,4.068716094,70.70524412
C800A,17.6162790675,15.7028260225,1.36601623275,62.32747382
R707E,16.01343785,4.479283315,1.5117581189999998,74.41209406
R707B,16.01343785,4.479283315,1.511758119,74.41209406
R708F,8.610086101,21.52521525,0.0,68.94218942
R707C,16.01343785,4.479283315,1.5117581189999998,74.41209406
D708A,16.01343785,4.479283315,1.511758119,74.41209406
T708A,10.07462687,2.686567164,0.0,87.23880597
R708E,7.371167645,11.219830400000001,6.196999347999999,74.36399217
T708C,7.371167645,11.2198304,6.196999348,74.36399217
R708R,7.371167645,11.219830400000001,6.196999347999999,74.36399217
R708C,10.07462687,2.686567164,0.0,87.23880597
T708B,10.07462687,2.686567164,0.0,87.23880597
M708C,10.07462687,2.686567164,0.0,87.23880597
M708A,7.371167645,11.2198304,6.196999348,74.36399217
C708A,8.547635932444443,10.665494843555555,2.7542219324444446,77.45075171444445
A708A,7.784140463666667,14.654958683333334,4.131332898666667,72.55672458666668
M708B,7.847674743461539,15.183439957692306,3.8135380603076925,72.27868342000001
A718A,2.7728583162857143,33.87301518571429,12.360210720285716,49.128925550000005
C708B,0.0,25.964912280000004,26.9005848,44.09356725
C708C,8.610086101,21.52521525,0.0,68.94218942
R709F,2.677974206669697,33.30366861487879,13.87791700748182,47.71620154612121
T718E,8.610086101,21.52521525,0.0,68.94218942
C718A,5.353981889891893,44.488587964054055,1.341292158972973,47.85319338540541
R709A,0.61462815,2.274124155,0.0,87.95328826
R709C,7.371167645,11.2198304,6.196999348,74.36399217
R709D,7.371167645,11.2198304,6.196999347999999,74.36399217
T709F,7.371167645,11.2198304,6.196999348,74.36399217
R709E,7.371167644999999,11.2198304,6.196999348,74.36399217
T709A,7.371167645,11.2198304,6.196999348,74.36399217
C800B,15.894191444285715,28.41083272142857,14.304544416714284,39.69751849714286
A800A,12.159517663846154,31.417296416615383,17.433800055153846,35.946297641538465
D709A,7.371167645,11.2198304,6.196999348,74.36399217
D709C,7.371167645,11.219830399999998,6.196999348,74.36399217
T709B,0.0,25.96491228,26.9005848,44.09356725
R709N,0.0,25.96491228,26.9005848,44.09356725
C708D,7.371167645,11.2198304,6.196999348000001,74.36399217
T709C,0.0,25.96491228,26.900584799999997,44.09356725
R709G,0.0,25.96491228,26.9005848,44.09356725
M709A,0.0,25.96491228,26.900584799999997,44.09356724999999
D709B,0.0,25.96491228,26.900584799999997,44.09356725
T709H,0.0,25.96491228,26.9005848,44.09356725
C820A,6.362858695102273,11.418850607204545,3.2251845222954545,68.33443162522727
R709H,0.0,25.96491228,26.9005848,44.09356725
T709D,10.19855596,39.07942238,24.68411552,24.81949458
C800D,18.16197220395349,21.445650213627907,11.641518809069767,46.139987261395355
R709S,0.0,25.96491228,26.9005848,44.09356725
R709K,5.809698079,22.64409881,0.0,70.3568161
R709I,5.809698079,22.64409881,0.0,70.3568161
R719N,5.809698079,22.64409881,0.0,70.3568161
R709L,5.809698079,22.64409881,0.0,70.3568161
R709Q,5.809698079,22.644098810000003,0.0,70.3568161
R709O,5.809698079,22.64409881,0.0,70.3568161
R709P,6.5506282982,24.7989585835,5.099246282249999,62.029140490500005
T709E,10.19855596,39.07942238,24.684115519999995,24.81949458
C800E,4.933682262461539,28.12827203307692,4.047438046538462,60.314560911538464
R709M,5.809698079,22.64409881,0.0,70.3568161
R709J,5.809698079,22.64409881,0.0,70.3568161
R719E,2.6130418166333333,0.33048433040666664,3.08517086554,87.5013997992
R717B,20.94517958,7.069943289,1.8903591680000003,65.86011342
T717B,20.94517958,7.069943289000001,1.890359168,65.86011342
T717C,20.94517958,7.069943289,1.890359168,65.86011342
C718D,16.81114311,7.59910289,1.728177347,68.724240155
R707D,20.94517958,7.069943289,1.890359168,65.86011342
T707A,20.94517958,7.069943288999999,1.890359168,65.86011342
R727A,10.904149809623966,22.572825021132232,4.911870159421487,56.62870680173554
R707F,15.23581117027966,8.180393280347458,1.8961232390508476,69.26871190347458
R717L,20.94517958,7.069943289,1.890359168,65.86011342
R717M,20.94517958,7.069943289,1.890359168,65.86011342
R707U,20.94517958,7.069943289,1.890359168,65.86011342
R717D,9.962196983090909,19.73029282476,1.8963546845527273,62.72731571825454
T717A,20.94517958,7.069943289000001,1.8903591680000003,65.86011342
R717G,20.94517958,7.069943289000001,1.890359168,65.86011342
R717F,20.94517958,7.069943289,1.890359168,65.86011342
R717C,9.922113105,19.77649848,1.896376566,62.71588215
R717K,9.922113105,19.77649848,1.896376566,62.71588215
R717H,9.922113105,19.77649848,1.896376566,62.71588215
R717I,9.922113105,19.77649848,1.896376566,62.71588215
R717J,9.922113105,19.77649848,1.896376566,62.71588215
D718A,8.610086101,21.52521525,0.0,68.94218942
M718A,8.610086101,21.52521525,0.0,68.94218942
M718C,5.809698079,22.64409881,0.0,70.3568161
R718A,20.94517958,7.069943289,1.890359168,65.86011342
C718C,20.94517958,7.069943289,1.890359168,65.86011342
C718B,2.7062497137368418,61.60527044842106,3.5417876294210524,30.946406221052634
R718B,12.67710664,8.128262491,1.5659955260000002,71.58836689
R718H,12.67710664,8.128262491,1.565995526,71.58836689
A718B,12.67710664,8.128262491,1.565995526,71.58836689
T718R,2.199661591,24.95769882,1.8612521149999999,69.20473773
C718J,2.011680727,66.32057106,3.958468527,26.47631408
R718D,5.070026322478193,23.066922884267914,3.02670340570405,66.85843937825545
C728A,12.217941050833332,10.069635155833334,1.6210590326666667,70.10961943333334
A718C,5.150147433333333,51.20613437166667,12.320387373833334,28.783808405000002
D718B,2.011680727,66.32057106,3.958468527,26.47631408
R718G,2.011680727,66.32057106,3.958468527,26.47631408
T718B,2.011680727,66.32057106,3.9584685269999995,26.476314079999998
C718I,2.9461958439333333,58.547045432000004,3.5921765634000002,33.448184438000006
M718D,8.926553672,28.70056497,2.259887006,57.40112994
C728B,16.81547619,24.35515873,28.670634920000005,30.158730159999998
R718C,11.99677972990164,26.206882695901637,1.1855144949508196,57.68943570295082
C718H,11.3727349841,36.314834621,1.1875405580999998,48.548190563999995
A728A,16.81547619,24.35515873,28.67063492,30.15873016
R718I,15.38461538,23.455233289999995,0.0,58.0075662
R728C,16.81547619,24.35515873,28.670634920000005,30.158730159999998
T728A,16.81547619,24.35515873,28.67063492,30.15873016
C718E,10.859524290062499,32.672741464375,17.407434293125,34.15090234375
M718B,15.38461538,23.45523329,0.0,58.0075662
R718K,8.926553672,28.70056497,2.259887006,57.40112994
R709R,5.179994773097345,18.72883270938053,4.951110605,62.1741032180531
R719C,3.072870939,0.0,3.248463565,85.95258999
R719F,0.8804989496565218,9.245873080230433,2.4460407993666666,85.37346325237681
M719A,5.82010582,23.28042328,6.084656085,54.4973545
R719A,5.82010582,23.28042328,6.084656085,54.49735450000001
T719B,6.588579795,46.41288433,0.0,46.99853587
T719A,5.82010582,23.28042328,6.084656085,54.49735450000001
R719B,6.588579795,46.41288433,0.0,46.99853587
T719C,6.588579795,46.41288433,0.0,46.99853586999999
T719D,6.588579795,46.41288433,0.0,46.99853587
C719A,0.6172839502222223,4.5348383602222215,2.2658146735555555,91.37261567444445
R729D,7.88243060171029,27.045732715273463,5.622275110458483,56.953895335261734
R719D,0.9260706939452054,18.959656302328767,1.7904918186301373,75.25764505027398
T719E,0.0,27.138331569999995,1.16156283,70.64413939
T719F,6.360750772981132,8.123224873801332,3.071502645937847,80.30268463856825
A729A,1.8337769890000002,22.91238368,4.859190499333334,69.98057015333333
R719G,2.064209375453125,39.19172625465625,3.577737152609375,46.77348939054688
T719H,0.0,27.13833157,1.16156283,70.64413939
R719I,5.501330967,8.42945874,7.808340728,77.01863354
D719A,5.501330967,8.42945874,7.808340728,77.01863354
R719L,5.950265910945455,28.387111025854548,3.1682831008181815,54.20015741436364
R719H,0.0,27.13833157,1.16156283,70.64413939
R729C,1.405975395,7.029876977,6.590509666,79.61335677
R719K,1.4059753950000002,7.029876977,6.590509666,79.61335677
R719J,1.963439404,39.47190251,3.588354773,46.58090724
R727J,9.922113105,19.77649848,1.896376566,62.715882150000006
R727B,4.008765699784067,44.70404235253668,1.8157782874926625,42.63972262798742
R727E,4.8697323745,45.893693135,1.4296180615,42.15968903
R727D,9.028807580165703,27.497706920134878,1.557604925088632,56.88978996190752
R727C,7.998303165915152,33.36963303563636,1.7784183869939394,53.40531131745455
T727A,6.370072068156522,32.219564515391305,9.071204104743478,48.88507890613044
R727I,8.464534434939024,19.386089040243903,2.147274637402439,64.12464769634146
R727G,2.958649489151671,22.99776202344473,7.608016337933161,59.39902749645244
C737A,1.152073733,68.8172043,0.0,23.88632873
C727A,5.1932136856,34.944957504,2.227698374,55.225604284
